,train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
0,1.3919305921266865,1.390272447793949,0.2164804469273743,0.2111280487804878,20
1,0.2708788318091265,0.3737542675751284,0.9121857541899442,0.8719512195121951,20
2,0.26609724056620837,0.4750734960501332,0.9149790502793296,0.8635670731707317,20
3,0.49617885768038933,1.6928148520031445,0.9479748603351955,0.9024390243902439,20
4,0.12386018858816704,0.2318224723269118,0.9563547486033519,0.9115853658536586,20
5,0.17095306990199916,0.29761056862657936,0.9519902234636871,0.9016768292682927,20
6,0.11990009924636207,0.2583965627226706,0.9608938547486033,0.9146341463414634,20
7,0.12316016329962282,0.24138044184017018,0.9574022346368715,0.9115853658536586,20
8,0.13718968640242876,0.2492072330787778,0.9572276536312849,0.9108231707317073,20
9,0.2720424700424325,0.6300751086517532,0.9472765363128491,0.9024390243902439,20
10,0.11711072596050175,0.23923014160018505,0.958449720670391,0.9138719512195121,20
11,0.16726066246004412,0.4105169603078649,0.959322625698324,0.9161585365853658,20
12,0.15983873091679712,0.32704191133891025,0.959322625698324,0.9146341463414634,20
13,0.17578122134231988,0.32154854095154783,0.9498952513966481,0.9039634146341463,20
14,0.2121945414796222,0.43404140401200003,0.9484986033519553,0.9039634146341463,20
15,0.23239735523290808,0.4070889596577461,0.940467877094972,0.8910060975609756,20
16,0.17883806298460875,0.30752951671119505,0.9439594972067039,0.9009146341463414,20
17,0.2512096088150693,0.5839048803204716,0.9450069832402235,0.899390243902439,20
18,0.2914361983808226,0.752329407117852,0.9472765363128491,0.9039634146341463,20
19,0.17544425139463812,0.2885347912315188,0.9429120111731844,0.9009146341463414,20
20,0.22496217416401681,0.44166072545198315,0.959322625698324,0.9176829268292683,20
